1/12 7:45:22|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673532922589
1/12 7:45:22|Utils|convertToSecond method called|time = 880.0
1/12 7:45:22|Utils|isSplit|Method called.
1/12 7:45:22|Utils|isSplit|Splitting for Ajax Header = false
1/12 7:45:22|Utils|isSplit|Splitting for method GET = false
1/12 7:45:22|Utils|isSplit|result = false
1/12 7:45:22|Utils|isSplitForTimeDiff|Method called.
1/12 7:45:22|Utils|isSplit|Splitting for time 0.06500000000000006 = false
1/12 7:45:22|Utils|isSplit|result = false
1/12 7:45:22|Utils|isSplitForURLType|Method called.
1/12 7:45:22|Utils|isSplitForURLType|value = false
1/12 7:45:22|Utils|isSplitForURLType|value = false
1/12 7:45:22|Utils|isSplit|isSplitForURLType = false
1/12 7:45:22|Utils|getURLTracker|urlString = http://172.24.1.4:1323/static/css/main.css, requestOrResponce = response
1/12 7:45:22|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673532922635
1/12 7:45:22|Utils|convertToSecond method called|time = 926.0
1/12 7:45:22|Utils|isSplit|Method called.
1/12 7:45:22|Utils|isSplit|Splitting for Ajax Header = false
1/12 7:45:22|Utils|isSplit|Splitting for method GET = false
1/12 7:45:22|Utils|isSplit|result = false
1/12 7:45:22|Utils|isSplitForTimeDiff|Method called.
1/12 7:45:22|Utils|isSplit|Splitting for time 0.06500000000000006 = false
1/12 7:45:22|Utils|isSplit|result = false
1/12 7:45:22|Utils|isSplitForURLType|Method called.
1/12 7:45:22|Utils|isSplitForURLType|value = false
1/12 7:45:22|Utils|isSplitForURLType|value = false
1/12 7:45:22|Utils|isSplitForURLType|value = false
1/12 7:45:22|Utils|isSplit|isSplitForURLType = false
1/12 7:45:22|ChromeRecordingHttpListener|checkSplitOptionAndCaptureSnapShotForResponse|Auto split option not valid for URL = http://172.24.1.4:1323/static/css/main.css
1/12 7:45:22|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673532922635
1/12 7:45:22|Utils|convertToSecond method called|time = 926.0
1/12 7:45:22|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673532922635
1/12 7:45:22|Utils|convertToSecond method called|time = 926.0
1/12 7:45:22|ChromeRecordingHttpListener|onCompleted |Adding dump diretory with path=C:\Users\kanhucharan.ghadai\Desktop\recorder\\scripts\workspace/admin/system/cavisson/default/default/scripts/Newsamplescript\dump\flow\172.24.1.4_1323/static/css/
1/12 7:45:22|ChromeRecordingHttpListener|onBeforeURLRequest|method called.
1/12 7:45:22|ChromeRecordingHttpListener|onBeforeSendHeaders for url = http://172.24.1.4:1323/static/image/goimg.png|method called.
